frame,north,south,east,west,phase,time
598,0,0,12,15,EW,17
599,0,0,16,15,EW,16
600,0,0,1,15,EW,16
601,0,0,1,15,EW,15
602,0,0,1,15,EW,15
603,0,0,5,15,EW,14
604,0,0,8,15,EW,14
605,0,0,12,15,EW,13
606,0,0,16,15,EW,13
607,0,0,20,0,EW,12
608,0,0,20,0,EW,12
609,0,0,16,0,EW,11
610,0,0,18,0,EW,11
611,0,0,5,0,EW,10
612,0,0,7,0,EW,10
613,0,0,7,0,EW,9
614,0,0,5,0,EW,9
615,0,0,5,0,EW,8
616,0,0,5,0,EW,8
617,0,1,0,0,EW,7
618,0,2,0,0,EW,7
619,0,3,0,0,EW,6
620,0,2,0,3,EW,2
621,0,1,1,3,EW,1
622,0,2,2,3,EW,5
623,0,2,18,3,EW,4
624,0,1,19,3,EW,4
625,0,0,20,0,EW,3
626,0,0,21,0,EW,3
627,0,0,16,0,EW,2
628,0,0,3,0,EW,2
629,0,0,5,0,EW,1
630,0,0,7,0,EW,1
631,0,0,9,0,EW,0
632,0,0,8,0,NS,20
633,0,0,12,0,NS,19
634,0,0,15,0,NS,19
635,0,0,19,0,NS,18
636,0,0,11,0,NS,18
637,0,0,9,0,NS,17
638,0,0,9,0,NS,17
639,0,0,5,0,NS,16
640,0,0,3,0,NS,16
641,0,0,4,3,NS,15
642,0,0,4,6,NS,15
643,0,0,6,9,NS,14
644,0,0,6,12,NS,14
645,0,0,9,15,NS,13
646,0,0,12,15,NS,13
647,0,0,15,15,NS,12
648,0,3,15,15,NS,15
649,0,3,15,15,NS,14
650,0,3,15,15,NS,14
651,0,3,0,15,NS,16
652,0,3,3,15,NS,15
653,0,0,3,15,NS,9
654,0,0,7,15,NS,9
655,0,0,4,0,NS,8
656,0,0,3,0,NS,8
657,0,3,1,3,NS,24
658,0,6,2,6,NS,24
659,0,9,1,9,NS,24
660,0,9,2,12,NS,21
661,0,3,3,15,NS,10
662,0,6,4,15,NS,14
663,0,6,1,15,NS,14
664,0,3,2,15,NS,5
665,0,0,4,15,NS,3
666,0,0,5,15,NS,3
667,0,0,6,15,NS,2
668,0,0,1,15,NS,2
669,0,0,1,15,NS,1
670,0,0,0,15,NS,1
671,0,0,0,15,NS,0
672,0,0,0,15,EW,59
673,0,3,0,15,NS,5
674,0,6,0,15,NS,10
675,0,9,0,15,NS,8
676,0,12,0,15,NS,15
677,0,3,0,15,NS,3
678,0,0,0,15,EW,56
679,0,3,0,15,NS,2
680,0,3,0,15,NS,2
681,0,0,0,15,EW,54
682,0,6,0,15,NS,6
683,0,9,0,15,NS,4
684,0,12,0,15,NS,11
685,0,15,0,15,NS,8
686,0,18,0,15,NS,14
687,0,15,0,15,NS,7
688,0,15,0,15,NS,7
689,0,0,0,15,EW,50
